kind,rank,world_size,size,latency,average_throughput,total_throughput
minio,0,1,1B,0.009944438934326172,663.0174599003955,663.0174599003955
minio,0,1,1KB,0.001542806625366211,663216.1079652512,663216.1079652512
minio,0,1,1MB,0.0017430782318115234,671738346.0616314,671738346.0616314
minio,0,1,10MB,0.0015540122985839844,6841771972.817808,6841771972.817808
minio,0,1,100MB,0.0016014575958251953,67273411848.78431,67273411848.78431
minio,0,1,1GB,0.0014557838439941406,679328377219.4363,679328377219.4363
pfs,0,1,1B,0.022643566131591797,391.5190794872989,391.5190794872989
pfs,0,1,1KB,0.008032798767089844,372769.2095978518,372769.2095978518
pfs,0,1,1MB,0.018565654754638672,365524341.13345164,365524341.13345164
pfs,0,1,10MB,0.016261816024780273,3703121315.4002266,3703121315.4002266
pfs,0,1,100MB,0.004476070404052734,37440486731.13082,37440486731.13082
pfs,0,1,1GB,0.016599655151367188,392547154847.7394,392547154847.7394
minio,0,2,1B,0.012682199478149414,683.4902198780306,1370.8303846668593
minio,1,2,1B,0.012776374816894531,687.3401647888287,1370.8303846668593
minio,1,2,1KB,0.0013051033020019531,692575.8780318357,1382285.120255189
minio,0,2,1KB,0.0017521381378173828,689709.2422233535,1382285.120255189
minio,1,2,1MB,0.0015876293182373047,690885998.7950569,1381671999.6166308
minio,0,2,1MB,0.0013968944549560547,690786000.8215737,1381671999.6166308
minio,1,2,10MB,0.0015287399291992188,6815537428.9170475,13675574014.031113
minio,0,2,10MB,0.002203702926635742,6860036585.114065,13675574014.031113
minio,0,2,100MB,0.0015482902526855469,69352980861.41537,138465962942.574
minio,1,2,100MB,0.0014529228210449219,69112982081.15863,138465962942.574
minio,1,2,1GB,0.0015535354614257812,681345253887.8518,1358673869088.1233
minio,0,2,1GB,0.0017018318176269531,677328615200.2715,1358673869088.1233
pfs,0,2,1B,0.016976118087768555,400.7053775424688,803.0607086005848
pfs,1,2,1B,0.019284486770629883,402.35533105811595,803.0607086005848
pfs,0,2,1KB,0.0086822509765625,405221.5256951335,812193.0003989858
pfs,1,2,1KB,0.005570888519287109,406971.4747038523,812193.0003989858
pfs,1,2,1MB,0.018857955932617188,395704144.1766253,783391875.3747325
pfs,0,2,1MB,0.006205320358276367,387687731.1981072,783391875.3747325
pfs,1,2,10MB,0.01914525032043457,3939022744.0431457,7869379138.067664
pfs,0,2,10MB,0.0060198307037353516,3930356394.024519,7869379138.067664
pfs,1,2,100MB,0.021024227142333984,37744421366.14469,75347178237.384
pfs,0,2,100MB,0.01044774055480957,37602756871.23931,75347178237.384
pfs,1,2,1GB,0.01451563835144043,390601026063.99994,779635448191.9153
pfs,0,2,1GB,0.009410619735717773,389034422127.9153,779635448191.9153
minio,1,4,1B,0.013311386108398438,704.1815488929216,2802.576566323128
minio,3,4,1B,0.013503789901733398,703.4482347740328,2802.576566323128
minio,2,4,1B,0.013351917266845703,691.0485596728226,2802.576566323128
minio,0,4,1B,0.013124704360961914,703.8982229833509,2802.576566323128
minio,2,4,1KB,0.0015268325805664062,688539.0067190767,2797288.671549629
minio,0,4,1KB,0.0015609264373779297,704172.0904530706,2797288.671549629
minio,1,4,1KB,0.0017287731170654297,704522.0848650257,2797288.671549629
minio,3,4,1KB,0.0019102096557617188,700055.489512456,2797288.671549629
minio,2,4,1MB,0.0014998912811279297,703352102.5983229,2806558552.2309318
minio,0,4,1MB,0.0016121864318847656,696735572.9378439,2806558552.2309318
minio,1,4,1MB,0.0015254020690917969,702718782.3789319,2806558552.2309318
minio,3,4,1MB,0.0014958381652832031,703752094.315833,2806558552.2309318
minio,2,4,10MB,0.0017731189727783203,7031525342.245177,28129934625.270626
minio,0,4,10MB,0.0017285346984863281,7033191975.414706,28129934625.270626
minio,1,4,10MB,0.0018048286437988281,7024692146.250106,28129934625.270626
minio,3,4,10MB,0.0014958381652832031,7040525161.360637,28129934625.270626
minio,2,4,100MB,0.0016524791717529297,70150346495.14754,279041415337.9478
minio,0,4,100MB,0.0012929439544677734,69857018682.00113,279041415337.9478
minio,1,4,100MB,0.0015950202941894531,68660374535.18789,279041415337.9478
minio,3,4,100MB,0.0018439292907714844,70373675625.6113,279041415337.9478
minio,2,4,1GB,0.0016908645629882812,702735437531.0471,2795408738674.433
minio,0,4,1GB,0.00128936767578125,703185428206.0938,2795408738674.433
minio,1,4,1GB,0.0016138553619384766,701302133899.4174,2795408738674.433
minio,3,4,1GB,0.0016355514526367188,688185739037.875,2795408738674.433
pfs,2,4,1B,0.018833637237548828,363.5974753011687,1495.1210846687648
pfs,0,4,1B,0.012315750122070312,379.34664403012334,1495.1210846687648
pfs,1,4,1B,0.017122268676757812,382.6298040720324,1495.1210846687648
pfs,3,4,1B,0.013181686401367188,369.5471612654404,1495.1210846687648
pfs,2,4,1KB,0.01923823356628418,381873.2394028167,1550375.6860929176
pfs,0,4,1KB,0.0052187442779541016,392506.2916761548,1550375.6860929176
pfs,3,4,1KB,0.019913196563720703,381773.2420460141,1550375.6860929176
pfs,1,4,1KB,0.010703563690185547,394222.912967932,1550375.6860929176
pfs,0,4,1MB,0.005657196044921875,416021804.45963424,1611088686.5437033
pfs,1,4,1MB,0.014688253402709961,411088607.83596414,1611088686.5437033
pfs,3,4,1MB,0.020600557327270508,381789419.7805184,1611088686.5437033
pfs,2,4,1MB,0.019392728805541992,402188854.46758646,1611088686.5437033
pfs,2,4,10MB,0.014595270156860352,3817495738.260036,15644799503.958979
pfs,0,4,10MB,0.010663509368896484,4019153375.7041397,15644799503.958979
