kind,rank,world_size,size,latency,average_throughput,total_throughput
minio,4,8,1KB,0.0014619827270507812,778351.4310870586,6198095.344123581
minio,7,8,1KB,0.0014464855194091797,775468.154191464,6198095.344123581
minio,2,8,1KB,0.0012965202331542969,779551.40759852,6198095.344123581
minio,6,8,1MB,0.0031244754791259766,428670455.7552119,3405964348.973917
minio,1,8,1MB,0.0033006668090820312,426070533.8587921,3405964348.973917
minio,5,8,1MB,0.0027327537536621094,425137228.5626414,3405964348.973917
minio,4,8,1MB,0.0030989646911621094,426870509.8269213,3405964348.973917
minio,7,8,1MB,0.0032548904418945312,422970626.9822916,3405964348.973917
minio,0,8,1MB,0.0031621456146240234,422953960.8162889,3405964348.973917
minio,2,8,1MB,0.003171682357788086,426803845.1629105,3405964348.973917
minio,3,8,1MB,0.0029098987579345703,426487188.0088594,3405964348.973917
minio,6,8,10MB,0.016017436981201172,705380410.1920873,5644376388.855748
minio,4,8,10MB,0.016616106033325195,705880325.4367309,5644376388.855748
minio,7,8,10MB,0.01631641387939453,705547048.6069685,5644376388.855748
minio,1,8,10MB,0.016050338745117188,705880325.4367309,5644376388.855748
minio,3,8,10MB,0.015824317932128906,705880325.4367309,5644376388.855748
minio,5,8,10MB,0.015878915786743164,705213771.7772061,5644376388.855748
minio,0,8,10MB,0.015964508056640625,704713856.5325625,5644376388.855748
minio,2,8,10MB,0.015961408615112305,705880325.4367309,5644376388.855748
minio,2,8,100MB,0.14094805717468262,708597408.8221527,5668779270.577222
minio,0,8,100MB,0.14100408554077148,708597408.8221527,5668779270.577222
minio,6,8,100MB,0.1409456729888916,708597408.8221527,5668779270.577222
minio,1,8,100MB,0.14116382598876953,708597408.8221527,5668779270.577222
minio,5,8,100MB,0.14131855964660645,708597408.8221527,5668779270.577222
minio,4,8,100MB,0.14125370979309082,708597408.8221527,5668779270.577222
minio,3,8,100MB,0.1409163475036621,708597408.8221527,5668779270.577222
minio,7,8,100MB,0.14130735397338867,708597408.8221527,5668779270.577222
minio,6,8,1GB,1.3898210525512695,711643069.414471,5693144555.315768
minio,1,8,1GB,1.3899431228637695,711643069.414471,5693144555.315768
minio,5,8,1GB,1.3900203704833984,711643069.414471,5693144555.315768
minio,4,8,1GB,1.390638828277588,711643069.414471,5693144555.315768
minio,3,8,1GB,1.3904519081115723,711643069.414471,5693144555.315768
minio,7,8,1GB,1.3906161785125732,711643069.414471,5693144555.315768
minio,0,8,1GB,1.390099048614502,711643069.414471,5693144555.315768
minio,2,8,1GB,1.3898160457611084,711643069.414471,5693144555.315768
pfs,6,8,1B,0.0034999847412109375,1803.0338652918153,14576.352894740427
pfs,1,8,1B,0.0034770965576171875,1809.3504754333867,14576.352894740427
pfs,4,8,1B,0.0035033226013183594,1842.7501765513516,14576.352894740427
pfs,7,8,1B,0.003376483917236328,1811.1504593259715,14576.352894740427
pfs,5,8,1B,0.003478527069091797,1830.6836178640228,14576.352894740427
pfs,3,8,1B,0.0034284591674804688,1824.9836688708374,14576.352894740427
pfs,0,8,1B,0.0034613609313964844,1829.5502946723955,14576.352894740427
pfs,2,8,1B,0.003455638885498047,1824.8503367306457,14576.352894740427
pfs,6,8,1KB,0.0042324066162109375,1835374.9972914779,14722633.131656371
pfs,4,8,1KB,0.0042340755462646484,1865258.194899095,14722633.131656371
pfs,1,8,1KB,0.004161357879638672,1826925.0356701384,14722633.131656371
pfs,3,8,1KB,0.004024028778076172,1840408.3077641495,14722633.131656371
pfs,7,8,1KB,0.004021644592285156,1833258.3402384007,14722633.131656371
pfs,2,8,1KB,0.004204988479614258,1841891.6343604005,14722633.131656371
pfs,5,8,1KB,0.004142045974731445,1838074.985028474,14722633.131656371
pfs,0,8,1KB,0.004050493240356445,1841441.6364042345,14722633.131656371
pfs,6,8,1MB,0.03288125991821289,826237405.7504,6625582340.280782
pfs,5,8,1MB,0.03283977508544922,826054075.2115548,6625582340.280782
pfs,4,8,1MB,0.032567501068115234,834903940.3139948,6625582340.280782
pfs,7,8,1MB,0.032819271087646484,824437433.1871918,6625582340.280782
pfs,0,8,1MB,0.032956600189208984,832537309.7216284,6625582340.280782
pfs,2,8,1MB,0.032677412033081055,830604005.8574419,6625582340.280782
pfs,1,8,1MB,0.03255033493041992,823920774.3959006,6625582340.280782
pfs,3,8,1MB,0.03274083137512207,826887395.8426696,6625582340.280782
pfs,6,8,10MB,0.09501862525939941,1146576260.2776976,9193108465.944569
pfs,1,8,10MB,0.09487152099609375,1145742992.646682,9193108465.944569
pfs,5,8,10MB,0.0953366756439209,1147742834.9611197,9193108465.944569
pfs,4,8,10MB,0.09487009048461914,1153909015.4306364,9193108465.944569
pfs,3,8,10MB,0.09510660171508789,1147409527.9087133,9193108465.944569
pfs,7,8,10MB,0.09494209289550781,1148242795.539729,9193108465.944569
pfs,0,8,10MB,0.0950005054473877,1153909015.4306364,9193108465.944569
pfs,2,8,10MB,0.09526753425598145,1149576023.7493544,9193108465.944569
pfs,0,8,100MB,0.595923900604248,883894590.1684763,7081144230.841239
pfs,6,8,100MB,0.5961349010467529,885559175.0840478,7081144230.841239
pfs,1,8,100MB,0.5960409641265869,883894590.1684763,7081144230.841239
pfs,4,8,100MB,0.5962958335876465,883894590.1684763,7081144230.841239
pfs,3,8,100MB,0.596050500869751,888888344.9151908,7081144230.841239
pfs,7,8,100MB,0.5960536003112793,882230005.2529048,7081144230.841239
pfs,2,8,100MB,0.5960123538970947,887223759.9996194,7081144230.841239
pfs,5,8,100MB,0.5962340831756592,885559175.0840478,7081144230.841239
