id,time
0,50312
1,26125
2,45629
3,47845
4,32014
5,38208
6,46290
7,50289
8,32886
9,24213
10,40141
11,28209
12,33098
13,26166
14,33095
15,47277
16,49722
17,45652
18,46041
19,37504
20,35922
21,48554
22,40521
23,39282
24,34339
25,24259
26,48010
27,45661
28,49364
29,44215
30,35441
31,25462
32,45728
33,38320
34,47239
35,48597
36,49441
37,34062
38,41660
39,39513
40,23289
41,25157
42,26578
43,44235
44,47441
45,44811
46,40631
47,42295
48,43924
49,35852
50,47542
51,24760
52,24950
53,31559
54,48803
55,47404
56,32806
57,48363
58,41940
59,31820
60,42461
61,49633
62,25309
63,45872
64,41257
65,46824
66,38071
67,27263
68,48036
69,40746
70,46936
71,47104
72,39016
73,45877
74,25250
75,25628
76,35328
77,49212
78,50154
79,44891
80,47001
81,29098
82,28605
83,39359
84,49803
85,45321
86,23022
87,30180
88,35785
89,34693
90,43082
91,27555
92,43943
93,44757
94,36106
95,35958
96,39487
97,39458
98,45563
99,24759
100,43197
101,25565
102,50000
103,23760
104,33893
105,36882
106,30033
107,35316
108,45020
109,22827
110,47821
111,45370
112,38633
113,49889
114,36564
115,40160
116,22923
117,35688
118,47753
119,34098
120,34136
121,49913
122,44805
123,47699
124,41035
125,37139
126,42663
127,26487
128,31084
129,45194
130,42583
131,38309
132,30513
133,25097
134,26948
135,24380
136,47989
137,47604
138,42362
139,27354
140,25121
141,32167
142,39704
143,26505
144,42432
145,35890
146,43892
147,48838
148,45169
149,46528
150,48524
151,45913
152,48973
153,41256
154,46735
155,41445
156,50079
157,37202
158,48004
159,39729
160,26887
161,48431
162,22846
163,47955
164,41320
165,48734
166,41835
167,42753
168,40984
169,49429
170,27564
171,34307
172,39848
173,49852
174,40388
175,49486
176,40380
177,47079
178,31437
179,34310
180,46804
181,30562
182,43250
183,36749
184,44947
185,42655
186,38631
187,36576
188,27510
189,39430
190,34039
191,46883
192,37418
193,40583
194,37678
195,32404
196,50242
197,41876
198,38175
199,42170
200,23598
201,42491
202,49867
203,27065
204,27588
205,31810
206,39782
207,43727
208,44861
209,47983
210,44086
211,46695
212,31852
213,46751
214,39236
215,44729
216,48227
217,26940
218,23824
219,42677
220,47482
221,46065
222,48261
223,24671
224,32650
225,48754
226,26264
227,28860
228,44220
229,44954
230,37617
231,41730
232,47336
233,38435
234,46690
235,44899
236,24602
237,35685
238,31321
239,43882
240,40261
241,45356
242,46498
243,32197
244,39305
245,47044
246,39905
247,45860
248,49386
249,48625
250,47715
251,50128
252,28681
253,48031
254,44764
255,24327
256,27318
257,38527
258,43730
259,28372
260,45448
261,46464
262,37994
263,29498
264,32814
265,42715
266,37464
267,46005
268,44485
269,43060
270,45804
271,29962
272,47708
273,47933
274,35786
275,30736
276,37342
277,48501
278,47696
279,49667
280,45452
281,27198
282,37578
283,39161
284,45353
285,44655
286,46929
287,42689
288,50202
289,45772
290,45137
291,34327
292,49611
293,43493
294,43423
295,45049
296,47006
297,39091
298,41840
299,49830
300,43780
301,45559
302,47133
303,42012
304,40414
305,44063
306,24130
307,30427
308,33894
309,48819
310,29539
311,28740
312,49613
313,23855
314,25741
315,42071
316,23642
317,47091
318,38056
319,25382
320,46296
321,30132
322,32430
323,39040
324,34946
325,41696
326,47836
327,48538
328,43951
329,44933
330,46162
