id,time
0,37527
1,26314
2,36054
3,24961
4,36819
5,24203
6,33208
7,24312
8,34995
9,34653
10,30407
11,27423
12,36409
13,31734
14,25213
15,24592
16,36443
17,34894
18,31295
19,24123
20,34382
21,25588
22,36952
23,36510
24,37492
25,32634
26,27325
27,26029
28,27255
29,25858
30,33318
31,26165
32,25362
33,24257
34,30474
35,27526
36,26411
37,28297
38,24398
39,33627
40,26650
41,35853
42,36064
43,32052
44,34568
45,37515
46,36788
47,24052
48,26549
49,25894
50,24229
51,31801
52,29088
53,33285
54,37149
55,31700
56,37383
57,37317
58,36492
59,35071
60,32314
61,28955
62,31458
63,22893
64,34554
65,24593
66,34413
67,36165
68,34224
69,37253
70,36655
71,36716
72,28887
73,35240
74,36174
75,34613
76,35836
77,37238
78,29426
79,30063
80,31327
81,24603
82,32899
83,35488
84,30406
85,24415
86,29379
87,31927
88,24342
89,36171
90,23991
91,36711
92,35452
93,33742
94,37065
95,33505
96,37118
97,25335
98,36621
99,37260
100,31860
101,26313
102,26883
103,31265
104,36704
105,37131
106,37263
107,33756
108,25791
109,29162
110,25478
111,30811
112,28321
113,30683
114,35145
115,34238
116,31626
117,27321
118,24400
119,34259
120,23647
121,24001
122,27635
123,30540
124,33564
125,29145
126,31072
127,27769
128,36613
129,36460
130,28077
131,32171
132,36468
133,37283
134,26524
135,24460
136,33182
137,34432
138,33078
139,24464
140,35833
141,26477
142,24921
143,31018
144,35828
145,35226
146,35642
147,37298
148,33664
149,28038
150,31597
151,37362
152,31828
153,35783
154,35108
155,29195
156,25703
157,27491
158,25333
159,37458
160,29681
161,29129
162,33072
163,23847
164,31029
165,27080
166,25510
167,24699
168,25485
169,31203
170,30709
171,24826
172,31629
173,25594
174,37217
175,28368
176,37421
177,34058
178,25341
179,30603
180,24537
181,35122
182,35052
183,28941
184,36960
185,36540
186,24196
187,23874
188,33842
189,23534
190,24493
191,33246
192,29134
193,33455
194,30874
195,29631
196,33896
197,26285
198,32503
199,35379
200,33635
201,32048
