id,time
0,8026
1,8022
2,8026
3,8025
4,7921
5,8017
6,7914
7,7962
8,7952
9,7995
10,7992
11,7982
12,8002
13,8006
14,7959
15,7972
16,7927
17,7998
18,8005
19,7904
20,7953
21,7983
22,7940
23,7924
24,8007
25,7984
26,7968
27,8019
28,7942
29,7953
30,8000
31,7943
32,7990
33,7962
34,7986
35,7967
36,7965
37,7984
38,7955
39,7989
40,7967
41,8014
42,7913
43,8004
44,8023
45,7992
46,8007
47,7992
48,7962
49,7977
50,7934
51,8004
52,8021
53,8008
54,7920
55,8016
56,7965
57,8018
58,7972
59,7999
60,7920
61,8013
62,8024
63,7993
64,8005
65,8016
66,7978
67,7992
68,7962
69,7995
70,7962
71,7978
72,7976
73,7967
74,7938
75,7998
76,7964
77,7998
78,7911
79,7996
80,8025
81,8020
82,8020
83,7995
84,7964
85,7938
86,7984
87,7964
88,7915
89,7995
90,8007
91,7959
92,8004
93,7995
94,7998
95,7996
96,7939
97,7942
98,8000
99,8021
100,8015
101,8010
102,7946
103,7926
104,7928
105,7990
106,7983
107,7986
108,8001
109,7999
110,7919
111,7960
112,7999
113,8004
114,8000
115,8022
116,7993
117,7976
118,7957
119,7959
120,7965
121,8009
122,7990
123,7885
124,7972
125,7958
126,7995
127,7945
128,7935
129,8006
130,7935
131,7968
132,7974
133,8002
134,8014
135,8011
136,8011
137,8015
138,7987
139,8008
140,7977
141,8010
142,8013
143,7963
144,7964
145,7961
146,7972
147,8009
148,7957
149,7948
150,7915
151,7972
152,7938
153,7960
154,7959
155,7969
156,7970
157,8009
158,8000
159,7954
160,7962
161,7977
162,8018
163,7961
164,7989
165,7973
166,8015
167,8023
168,8012
169,7842
170,7996
171,8009
172,8024
173,7978
174,8014
175,7974
176,7961
177,7945
178,8007
179,8014
180,8005
181,8011
182,8015
183,7990
184,8012
185,7957
186,7972
187,8026
188,7971
189,8012
190,7947
191,7946
192,7933
193,8016
194,7967
195,8024
196,8024
197,7958
198,7951
199,7992
200,8015
201,7960
202,8017
203,8006
204,7986
205,7952
206,8022
207,8009
208,8017
209,7970
210,7998
211,7933
212,7986
213,8025
214,8012
215,7913
216,8022
217,7895
218,8020
219,7905
220,8006
221,7953
222,7961
223,7971
224,7995
225,7985
226,7920
227,7964
228,7921
229,8018
230,8001
231,7926
232,7901
233,7983
234,7966
235,7992
236,8006
237,7936
238,7966
239,8005
240,8017
241,8007
242,7918
243,8014
244,8016
245,7980
246,7966
247,7996
248,7945
249,7914
250,8017
251,7990
252,8009
253,8010
254,7972
255,8021
256,7983
257,8002
258,8020
259,7975
260,7981
261,7954
262,8011
263,7994
264,8010
265,8006
266,7947
267,8014
268,7999
269,7960
270,7998
271,7953
272,8005
273,8000
274,7975
275,7991
276,8025
277,7997
278,7993
279,8012
280,7941
281,7976
282,7979
283,8007
284,7972
285,7970
286,8008
287,7980
288,7988
289,7924
290,7953
291,7902
292,7992
293,8002
294,7995
295,7997
296,8019
297,7986
298,8002
299,8016
300,7937
301,7887
302,8011
303,8020
304,7989
305,8025
306,8005
307,7964
308,7982
309,7999
310,7982
311,7979
312,8003
313,7981
314,8008
315,8012
316,7984
317,7893
318,8000
319,7971
320,7994
321,7975
322,7992
323,7961
324,7987
325,7992
326,7994
327,8002
328,7978
329,7990
330,7997
331,7980
332,8022
333,7937
334,7931
335,7947
336,8019
337,8001
338,7950
339,8015
340,7981
341,8008
342,7990
343,8006
344,7954
345,7997
346,7992
347,7983
348,8019
349,7996
350,7939
351,8005
352,7953
353,7940
354,8014
355,7975
356,7973
357,8001
358,7959
359,7953
360,8021
361,7965
362,8025
363,7939
364,8006
365,7962
366,8012
