id,time
0,8231
1,8203
2,8183
3,8092
4,8083
5,8100
6,8159
7,8091
8,8123
9,8168
10,8166
11,8198
12,8090
13,8145
14,8206
15,8150
16,8179
17,8108
18,8096
19,8073
20,8134
21,8128
22,8045
23,8217
24,8189
25,8158
26,8087
27,8192
28,8073
29,8217
30,8229
31,8207
32,8066
33,8100
34,8088
35,8153
36,8057
37,8080
38,8107
39,8194
40,8096
41,8124
42,8180
43,8136
44,8074
45,8066
46,8059
47,8078
48,8108
49,8150
50,8147
51,8077
52,8033
53,8070
54,8231
55,8055
56,8179
57,8158
58,8193
59,8217
60,8081
61,8112
62,8171
63,8121
64,8179
65,8172
66,8184
67,8209
68,8105
69,8091
70,8230
71,8204
72,8215
73,8145
74,8118
75,8081
76,8222
77,8093
78,8163
79,8158
80,8172
81,8195
82,8164
83,8200
84,8112
85,8220
86,8133
87,8210
88,8064
89,8055
90,8087
91,8125
92,8222
93,8174
94,8208
95,8175
96,8174
97,8101
98,8144
99,8209
100,8105
101,8058
102,8136
103,8099
104,8152
105,8124
106,8188
107,8172
108,8118
109,8137
110,8191
111,8211
112,8145
113,8125
114,8139
115,8047
116,8125
117,8152
118,8227
119,8069
120,8111
121,8106
122,8194
123,8146
124,8109
125,8113
126,8074
127,8131
128,8181
129,8025
130,8132
131,8224
132,8096
133,8141
134,8088
135,8165
136,8169
137,8146
138,8230
139,8144
140,8174
141,8124
142,8214
143,8131
144,8149
145,8156
146,8204
147,8166
148,8142
149,8172
150,8144
151,8119
152,8201
153,8163
154,8079
155,8138
156,8161
157,8214
158,8196
159,8053
160,8086
161,8137
162,8215
163,8180
164,8088
165,8064
166,8202
167,8090
168,8119
169,8059
170,8188
171,8131
172,8120
173,8099
174,8122
175,8088
176,8099
177,8132
178,8087
179,8078
180,8199
181,8163
182,8183
183,8177
184,8156
185,8115
186,8229
187,8163
188,8139
189,8153
190,8096
191,8193
192,8208
193,8198
194,8178
195,8202
196,8113
197,8111
198,8139
199,8162
200,8149
201,8100
202,8159
203,8084
204,8121
205,8135
206,8175
207,8125
208,8116
209,8130
210,8163
211,8134
212,8217
213,8146
214,8194
215,8140
216,8188
217,8135
218,8105
219,8152
220,8096
221,8101
222,8153
223,8201
224,8102
225,8218
226,8163
227,8101
228,8194
229,8171
230,8065
231,8136
232,8144
233,8162
234,8203
235,8134
236,8131
237,8211
238,8147
239,8221
240,8152
241,8187
242,8050
243,8057
244,8166
245,8159
246,8203
247,8121
248,8212
249,8222
250,8181
251,8180
252,8109
253,8194
254,8155
255,8121
256,8197
257,8212
258,8199
259,8131
260,8213
261,8218
262,8155
263,8209
264,8119
265,8206
266,8177
267,8108
268,8196
269,8194
270,8120
271,8192
272,8185
273,8190
274,8218
275,8031
276,8064
277,8226
278,8185
279,8182
280,8092
281,8222
282,8121
283,8198
284,8203
285,8172
286,8112
287,8203
288,8212
289,8197
290,8161
291,8219
292,8179
293,8182
294,8174
295,8117
296,8083
297,8225
298,8147
299,8158
300,8180
301,8212
302,8195
303,8212
304,8216
305,8150
306,8160
307,8218
308,8086
309,8183
310,8224
311,8124
312,8202
313,8231
314,8086
315,8220
316,8215
317,8199
318,8096
319,8095
320,8171
321,8155
322,8199
323,8059
324,8044
325,8066
326,8192
327,8109
328,8215
329,8088
330,8139
331,8118
332,8225
333,8222
334,8105
335,8129
336,8210
337,8093
338,8202
339,8208
340,8195
341,8140
342,8205
343,8152
344,8120
345,8194
346,8065
347,8155
348,8074
349,8102
350,8117
351,8082
352,8228
353,8053
354,8131
355,8173
356,8085
357,8175
358,8083
359,8145
360,8177
361,8148
362,8158
363,8130
364,8160
365,8201
366,8224
367,8119
368,8103
369,8092
370,8185
371,8228
372,8128
373,8129
374,8206
375,8168
376,8220
377,8143
378,8190
379,8172
380,8179
381,8166
382,8157
383,8083
384,8222
385,8137
386,8206
387,8157
388,8191
389,8221
390,8166
391,8137
392,8180
393,8214
394,8157
395,8132
396,8155
397,8205
398,8227
399,8175
400,8095
401,8194
402,8172
403,8219
404,8142
405,8189
406,8208
407,8193
408,8219
409,8220
