,date,idle_cpus,partially_idle_cpus,partially_free_mem,free_mem,allocated_nodes,idle_nodes,other_nodes,total_nodes
134,22-03-22 03:00:54,0.01494213750850919,0.01494213750850919,0.7491788264928393,0.01072858450153752,6859,88,294,7241
135,21-03-22 16:17:29,0.018229694146242658,0.018229694146242658,0.8096019553012872,0.016535336352722627,6860,132,249,7241
136,28-03-22 17:59:19,0.027182700080840744,0.027182700080840744,0.7637956069552769,0.026295688100743377,6797,205,239,7241
137,24-03-22 00:31:27,0.013562417560117699,0.013562417560117699,0.8389327721150112,0.013075030157125698,6868,101,272,7241
138,27-03-22 01:17:32,0.02199649977694657,0.02199649977694657,0.806000479301733,0.01695605777369129,6738,129,374,7241
139,28-03-22 05:14:00,0.13157070794920855,0.13157070794920855,0.6968345929240017,0.06238651963776154,6291,454,496,7241
140,30-03-22 13:33:59,0.04722813418465592,0.04722813418465592,0.7286151031401806,0.04862243819037655,6559,428,254,7241
141,28-03-22 10:48:47,0.04522545527854311,0.04522545527854311,0.7230684794402664,0.04667878201138107,6658,370,213,7241
142,23-03-22 14:41:53,0.048112182534293085,0.048112182534293085,0.7990556040036185,0.05845924380473965,6527,452,262,7241
143,19-03-22 19:16:33,0.21145254254629786,0.21145254254629786,0.6331206689242458,0.11326324832622305,6227,702,312,7241
144,25-03-22 13:33:14,0.07383703304476708,0.07383703304476708,0.7617849477827064,0.07704508061722053,6405,598,238,7241
145,22-03-22 14:36:35,0.0209994952044422,0.0209994952044422,0.7945935589488019,0.011746771463779207,6831,186,224,7241
146,21-03-22 05:04:49,0.14505630746977993,0.14505630746977993,0.650592369451623,0.12791324209282373,5609,1240,392,7241
147,27-03-22 07:57:41,0.01212475097891049,0.01212475097891049,0.8026720415098125,0.010958016898803474,6763,83,395,7241
148,20-03-22 19:19:29,0.012827548360543284,0.012827548360543284,0.7123653199530143,0.008419692909003934,6818,66,357,7241
149,26-03-22 09:11:50,0.16455696202531644,0.16455696202531644,0.6522566475149836,0.204054137704021,5396,1599,246,7241
150,25-03-22 23:19:34,0.017631987054143348,0.017631987054143348,0.8267643630343603,0.013194349508680755,6905,102,234,7241
151,23-03-22 13:25:50,0.0633287222915753,0.0633287222915753,0.7997483682862178,0.052534800494256746,6560,435,246,7241
152,23-03-22 04:47:11,0.011129528771015865,0.011129528771015865,0.8117427659966492,0.009618968450190037,6894,81,266,7241
153,30-03-22 05:03:19,0.048655482283800865,0.048655482283800865,0.7882522908488157,0.04854378138794131,6519,378,344,7241
154,20-03-22 16:11:29,0.02841784503714863,0.02841784503714863,0.7701383635320843,0.02370621368829067,6689,210,342,7241
155,18-03-22 13:14:14,0.02175010942392512,0.02175010942392512,0.8369425112336819,0.014294054134633813,6911,109,221,7241
156,25-03-22 15:41:36,0.07002328485134816,0.07002328485134816,0.7674188727911692,0.07720908727296347,6410,583,248,7241
157,18-03-22 10:49:04,0.03010022196811731,0.03010022196811731,0.8081108968407221,0.03699348834557256,6737,290,214,7241
158,19-03-22 15:58:44,0.2794393479521195,0.2794393479521195,0.5799785972900253,0.17034960994617834,5817,1113,311,7241
159,26-03-22 19:56:57,0.01477295935734223,0.01477295935734223,0.8062919262212362,0.01037407125322808,6850,78,313,7241
160,24-03-22 04:31:00,0.020489027363858034,0.020489027363858034,0.8125603238796871,0.017712354996865957,6805,153,283,7241
161,25-03-22 14:44:45,0.043867049097351105,0.043867049097351105,0.800105899271718,0.024724944895785063,6771,221,249,7241
162,23-03-22 00:42:38,0.02183834217910145,0.02183834217910145,0.8113410547954005,0.01873078092546198,6817,163,261,7241
163,22-03-22 11:50:13,0.13280855787667778,0.13280855787667778,0.6701859760564532,0.13314518650206827,5737,1284,220,7241
164,22-03-22 02:22:24,0.04180771834800271,0.04180771834800271,0.7732419277529927,0.03984067081729545,6647,325,269,7241
165,29-03-22 02:16:09,0.022510763806488795,0.022510763806488795,0.806445087612607,0.019200820430067756,6807,141,293,7241
166,19-03-22 10:52:40,0.2589702524959962,0.2589702524959962,0.5196123818702163,0.17490974639075993,5543,1399,299,7241
167,25-03-22 23:34:37,0.014952515659729238,0.014952515659729238,0.8225868099698468,0.011377332096715568,6926,84,231,7241
168,20-03-22 04:54:01,0.3145026160106692,0.3145026160106692,0.596851304544908,0.165052850483176,5850,1059,332,7241
169,17-03-22 18:51:14,0.0842831535157439,0.0842831535157439,0.7348711473134539,0.04631353746771133,6571,406,264,7241
170,29-03-22 11:22:37,0.024657350174684223,0.024657350174684223,0.8274081780847442,0.011943742539602321,6930,98,213,7241
171,28-03-22 07:51:09,0.08435791160182508,0.08435791160182508,0.6826957994453936,0.05607667774639555,6115,623,503,7241
172,19-03-22 03:41:37,0.18886436937701578,0.18886436937701578,0.6543625369192919,0.14469108316927146,5960,998,283,7241
173,28-03-22 18:16:19,0.022280737289852137,0.022280737289852137,0.771554571761093,0.018409768425307504,6822,162,257,7241
174,18-03-22 09:42:00,0.010182063385030344,0.010182063385030344,0.7912375974183496,0.010341835479583573,6910,88,243,7241
175,29-03-22 18:42:07,0.033492009520571235,0.033492009520571235,0.7907053936986816,0.029776815368715633,6627,298,316,7241
176,18-03-22 00:30:29,0.19528049564952432,0.19528049564952432,0.6383588486579685,0.18905686799282878,5519,1450,272,7241
177,24-03-22 11:43:02,0.017484051709589225,0.017484051709589225,0.8145496002170055,0.012201486949720786,6847,136,258,7241
178,28-03-22 04:12:37,0.11026854042020315,0.11026854042020315,0.6995209921233658,0.05347214876632416,6374,372,495,7241
179,29-03-22 10:15:06,0.025672905675593938,0.025672905675593938,0.8092491188559299,0.026821038171135583,6823,202,216,7241
180,23-03-22 03:51:50,0.024627042386928723,0.024627042386928723,0.8147841925296837,0.022086673065469176,6785,190,266,7241
181,24-03-22 07:32:51,0.02940286972008468,0.02940286972008468,0.7781824572935383,0.01571347150875898,6882,147,212,7241
182,19-03-22 17:49:34,0.26270144769188747,0.26270144769188747,0.5870989908272713,0.163948974000535,5860,1066,315,7241
183,26-03-22 18:27:14,0.01291638341264446,0.01291638341264446,0.785346907880351,0.012145111734007806,6840,102,299,7241
184,23-03-22 23:10:51,0.008068617147506526,0.008068617147506526,0.8365503426192928,0.005653356016856026,6897,47,297,7241
185,28-03-22 19:28:45,0.009409146094698503,0.009409146094698503,0.7863091482784716,0.007517379890632816,6935,59,247,7241
