,date,idle_cpus,partially_idle_cpus,partially_free_mem,free_mem,allocated_nodes,idle_nodes,other_nodes,total_nodes
0,28-03-22 23:41:49,0.08483003551496703,0.08483003551496703,0.7159776311319881,0.10176089535518094,6177,794,270,7241
1,18-03-22 15:05:23,0.017634539373669808,0.017634539373669808,0.8429686377383795,0.012196534387551918,6913,82,246,7241
2,25-03-22 17:36:28,0.022434495980626284,0.022434495980626284,0.814244001836807,0.018875253881490164,6870,150,221,7241
3,17-03-22 23:05:56,0.11173524634542502,0.11173524634542502,0.6788419974194212,0.0624368894166263,6028,944,269,7241
4,26-03-22 09:18:28,0.10129615877945049,0.10129615877945049,0.7413712289249311,0.11571171442613842,6033,962,246,7241
5,24-03-22 22:32:50,0.007862059657173707,0.007862059657173707,0.8424501819223484,0.005344386915272499,6953,39,249,7241
6,31-03-22 04:17:25,0.04737254367741716,0.04737254367741716,0.7536930070830428,0.04389636480997104,6576,337,328,7241
7,22-03-22 04:19:33,0.05465943747882074,0.05465943747882074,0.7800471901374115,0.03721070664601946,6671,293,277,7241
8,26-03-22 07:03:19,0.18797220723151645,0.18797220723151645,0.6247033149501434,0.23028898033055595,5201,1801,239,7241
9,21-03-22 11:42:49,0.00605999394000606,0.00605999394000606,0.8145788952962701,0.005113692432633729,6983,40,218,7241
10,22-03-22 15:40:53,0.01504898495101505,0.01504898495101505,0.82020434931247,0.011220104657675792,6932,83,226,7241
11,25-03-22 17:19:31,0.004772307175264661,0.004772307175264661,0.8332294742255051,0.0035144503700071175,6997,27,217,7241
12,25-03-22 18:02:10,0.0066980814540558735,0.0066980814540558735,0.8291438596192051,0.004993666919620399,6973,40,228,7241
13,27-03-22 22:26:04,0.01736533185149168,0.01736533185149168,0.7801503803895139,0.011308673746543018,6643,112,486,7241
14,31-03-22 04:27:21,0.07564085083174257,0.07564085083174257,0.7401014167229133,0.05515720888388023,6481,431,329,7241
15,19-03-22 05:34:05,0.15103759807084877,0.15103759807084877,0.6307164512285901,0.08895045282396082,6444,512,285,7241
16,31-03-22 02:06:12,0.049905998974534266,0.049905998974534266,0.7824846419183142,0.06007300625004885,6423,454,364,7241
17,30-03-22 22:47:12,0.3332088158386253,0.3332088158386253,0.46820051536758267,0.1780898220069881,3903,3034,304,7241
18,29-03-22 11:38:58,0.02134453781512605,0.02134453781512605,0.8148363452285604,0.01148623879369851,6937,89,215,7241
19,24-03-22 03:56:03,0.2690927555856466,0.2690927555856466,0.5382398680287841,0.14371665417687096,4345,2615,281,7241
20,22-03-22 19:22:00,0.05319687911642517,0.05319687911642517,0.7975684255658556,0.044018231555777686,6612,377,252,7241
21,22-03-22 11:10:44,0.03480980728483503,0.03480980728483503,0.7766199793399691,0.03580314805730987,6720,303,218,7241
22,21-03-22 05:38:21,0.1277255347731735,0.1277255347731735,0.7019007296740213,0.1335521082236305,5841,1006,394,7241
23,21-03-22 08:37:01,0.173437715546972,0.173437715546972,0.6508918815337406,0.2171266487029315,5189,1648,404,7241
24,30-03-22 02:16:07,0.016067277451114453,0.016067277451114453,0.8203406220983008,0.01936957645053532,6740,148,353,7241
25,21-03-22 15:41:46,0.0064764217769682254,0.0064764217769682254,0.7598154155960204,0.004248213926881095,6962,34,245,7241
26,27-03-22 19:10:07,0.05756767060617613,0.05756767060617613,0.6923937192803835,0.03766221457390221,6450,317,474,7241
27,24-03-22 21:31:01,0.017935405569415412,0.017935405569415412,0.842904929863385,0.015816404984567465,6874,121,246,7241
28,31-03-22 12:12:36,0.0505343357044129,0.0505343357044129,0.8006043740535815,0.04201670775282069,6668,335,238,7241
29,30-03-22 03:19:36,0.03100245834471456,0.03100245834471456,0.8082544950010343,0.03142021086451682,6658,242,341,7241
30,26-03-22 10:21:34,0.08419667262848851,0.08419667262848851,0.7222881953936577,0.10374425915800985,6192,805,244,7241
31,22-03-22 04:38:00,0.07607885644604025,0.07607885644604025,0.7426808155057275,0.06309694597154446,6516,452,273,7241
