srun: Warning: can't honor --ntasks-per-node set to 32 which doesn't match the requested tasks 125 with the number of requested nodes 4. Ignoring --ntasks-per-node.
srun: Job 128953 step creation temporarily disabled, retrying (Requested nodes are busy)
srun: Step created for job 128953
cpu-bind=MASK - ault01, task 29 29 [3753743]: mask 0x100000000100000000 set
cpu-bind=MASK - ault01, task  5  5 [3753719]: mask 0x100000000100000 set
cpu-bind=MASK - ault01, task  7  7 [3753721]: mask 0x200000000200000 set
cpu-bind=MASK - ault01, task 26 26 [3753740]: mask 0x2000000002000 set
cpu-bind=MASK - ault01, task  0  0 [3753714]: mask 0x1000000001 set
cpu-bind=MASK - ault01, task  4  4 [3753718]: mask 0x4000000004 set
cpu-bind=MASK - ault01, task  6  6 [3753720]: mask 0x8000000008 set
cpu-bind=MASK - ault01, task 11 11 [3753725]: mask 0x800000000800000 set
cpu-bind=MASK - ault01, task 14 14 [3753728]: mask 0x80000000080 set
cpu-bind=MASK - ault01, task 15 15 [3753729]: mask 0x2000000002000000 set
cpu-bind=MASK - ault01, task 16 16 [3753730]: mask 0x100000000100 set
cpu-bind=MASK - ault01, task 18 18 [3753732]: mask 0x200000000200 set
cpu-bind=MASK - ault01, task 19 19 [3753733]: mask 0x8000000008000000 set
cpu-bind=MASK - ault01, task 20 20 [3753734]: mask 0x400000000400 set
cpu-bind=MASK - ault01, task 23 23 [3753737]: mask 0x20000000020000000 set
cpu-bind=MASK - ault01, task 24 24 [3753738]: mask 0x1000000001000 set
cpu-bind=MASK - ault01, task 25 25 [3753739]: mask 0x40000000040000000 set
cpu-bind=MASK - ault01, task 27 27 [3753741]: mask 0x80000000080000000 set
cpu-bind=MASK - ault01, task 28 28 [3753742]: mask 0x4000000004000 set
cpu-bind=MASK - ault01, task 30 30 [3753744]: mask 0x8000000008000 set
cpu-bind=MASK - ault01, task  2  2 [3753716]: mask 0x2000000002 set
cpu-bind=MASK - ault01, task  3  3 [3753717]: mask 0x80000000080000 set
cpu-bind=MASK - ault01, task  8  8 [3753722]: mask 0x10000000010 set
cpu-bind=MASK - ault01, task 10 10 [3753724]: mask 0x20000000020 set
cpu-bind=MASK - ault01, task 12 12 [3753726]: mask 0x40000000040 set
cpu-bind=MASK - ault01, task 13 13 [3753727]: mask 0x1000000001000000 set
cpu-bind=MASK - ault01, task 17 17 [3753731]: mask 0x4000000004000000 set
cpu-bind=MASK - ault01, task 21 21 [3753735]: mask 0x10000000010000000 set
cpu-bind=MASK - ault01, task 31 31 [3753745]: mask 0x200000000200000000 set
cpu-bind=MASK - ault01, task  9  9 [3753723]: mask 0x400000000400000 set
Running problem size 20^3 per domain until completion
Num processors: 125
Total number of elements: 1000000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  125
   Iteration count     =  3517
   Final Origin Energy =  1.791828e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 1.135049e-09
        TotalAbsDiff = 1.028366e-08
        MaxRelDiff   = 2.474559e-14

Elapsed time         = 131.0220484 (s)
Grind time (us/z/c)  =  4.6567404 (per dom)  ( 131.02205 overall)
FOM                  =   26842.81 (z/s)

